qid,type,question,gold,prediction,em,f1,chain_complete,gap_type,gold_entity_count,gold_entity_coverage,gold_pair_count,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_relation_complete,gold_evidence_nodes_connected,matched_gold_entities,missing_gold_entities,repair_attempted,repair_outcome,repair_triples_extracted,repair_triples_added,repair_llm_calls
bbc587ba0bda11eba7f7acde48001122,compositional,"Where was the wife of Otto I, Count Of Guelders born?",Kelheim,Kelheim,1.0,1.0,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,Kelheim | Otto I of Guelders | Richardis of Bavaria,,True,repair_residual_gap,10,10,1
6b0a2728087811ebbd67ac1f6bf848b6,comparison,"Who is younger, Zhang Lifang or Lalengzama Vangchhia?",Lalengzama Vangchhia,Lalengzama Vangchhia,1.0,1.0,False,short_chain,4,1.0,2,1.0,0.0,True,False,False,"12 November 1999 | January 3, 1982 | Lalengzama Vangchhia | Zhang Lifang",,False,not_attempted,0,0,0
f7c2a5380bdd11eba7f7acde48001122,compositional,Where was the place of death of Thomas Sheridan (Soldier)'s father?,London,London,1.0,1.0,True,complete,3,0.6666666666666666,2,0.5,0.5,False,False,False,Richard Brinsley Sheridan | Thomas Sheridan,London,False,not_attempted,0,0,0
c664947c086f11ebbd62ac1f6bf848b6,bridge_comparison,"Which film whose director is younger, A Social Celebrity or A Sound Of Trumpets?",A Sound Of Trumpets,A Sound Of Trumpets,1.0,1.0,False,missing_entities,8,0.875,4,0.75,0.0,False,False,False,"7 October 1932 | A Social Celebrity | A Sound Of Trumpets | A Sound of Trumpets | Henri Safran | Malcolm St. Clair | May 17, 1897",Malcolm St. Clair (filmmaker),True,repair_residual_gap,7,7,2
20d63fe60bdb11eba7f7acde48001122,compositional,What is the date of death of the founder of Suez Canal Company?,7 December 1894,9 July 1883,0.0,0.0,True,complete,3,0.3333333333333333,2,0.0,0.0,False,False,False,Ferdinand de Lesseps,7 December 1894 | The Universal Company,False,not_attempted,0,0,0
b897a2aa08cb11ebbd92ac1f6bf848b6,comparison,"Which film came out first, João Da Mata or Beautiful Girls (Film)?",João Da Mata,João Da Mata,1.0,1.0,True,complete,5,0.6,2,0.0,0.0,False,False,False,Beautiful Girls (film) | João Da Mata | João da Mata,1923 | 1996,False,not_attempted,0,0,0
060cb332087711ebbd67ac1f6bf848b6,comparison,"Who is younger, Empress Xiaoshurui or Goran Veselinovski?",Goran Veselinovski,Goran Veselinovski,1.0,1.0,False,short_chain,4,1.0,2,1.0,0.5,True,False,False,"2 October 1760 | Empress Xiaoshurui | Goran Veselinovski | September 2, 1975",,False,not_attempted,0,0,0
c2c7992e08bd11ebbd8aac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Budak Nafsu or The Bilingual Lover?",Budak Nafsu,Budak Nafsu,1.0,1.0,True,complete,6,0.6666666666666666,4,0.5,0.0,False,False,False,Budak Nafsu | Sjumandjaja | The Bilingual Lover | Vicente Aranda,5 August 1934 | 9 November 1926,False,not_attempted,0,0,0
77bf469e0bdc11eba7f7acde48001122,compositional,Where was the director of film Mark (Film) born?,Toronto,Canada,0.0,0.0,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Mark | Mike Hoolboom,Toronto,True,repair_to_complete,2,2,1
77f5a3dc0bb011ebab90acde48001122,inference,Who is the maternal grandfather of Princess Alexandra Of Hanover (Born 1999)?,"Rainier III, Prince of Monaco",Rainier III,0.0,0.5714,False,missing_entities,4,1.0,2,1.0,0.0,True,False,True,"Caroline, Princess of Hanover | Princess Alexandra of Hanover | Princess Caroline of Monaco | Rainier III, Prince of Monaco",,True,repair_residual_gap,8,8,1
3c9ec66a089011ebbd72ac1f6bf848b6,comparison,Are both Alex Bregman and Francesca Sterlacci from the same country?,yes,yes,1.0,1.0,True,complete,5,0.2,2,0.0,0.0,False,False,False,Francesca Sterlacci,Alex Bregman | America | American | yes,True,repair_to_complete,28,28,1
20806979089c11ebbd78ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Aloha, Bobby And Rose or The Elusive Avengers?","Aloha, Bobby And Rose","Aloha, Bobby And Rose",1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.75,0.25,False,False,False,"Aloha, Bobby And Rose | Aloha, Bobby and Rose | Edmond Keosayan | Floyd Mutrux | June 21, 1941 | The Elusive Avengers",9 October 1936,True,repair_residual_gap,15,15,2
8afe75c40bda11eba7f7acde48001122,compositional,What nationality is the performer of song Pareho Tayo?,Filipino,Filipino,1.0,1.0,True,complete,3,0.3333333333333333,2,0.0,0.0,False,False,False,Gloc-9,Filipino | Pareho Tayo,True,repair_to_complete,7,7,1
85cc412008b611ebbd88ac1f6bf848b6,bridge_comparison,Are the directors of both films Captain Calamity (Film) and Heaven Only Knows (Film) from the same country?,yes,no,0.0,0.0,True,complete,7,0.5714285714285714,4,0.5,0.0,False,False,False,Albert S. Rogell | Captain Calamity (film) | Heaven Only Knows (film) | John Reinhardt,American | John Reinhardt (director) | yes,False,not_attempted,0,0,0
1eb0c10808d611ebbd98ac1f6bf848b6,bridge_comparison,"Which film has the director died later, The Man From Lost River or Mcveagh Of The South Seas?",The Man From Lost River,No death date,0.0,0.0,False,missing_entities,8,0.75,4,0.5,0.0,False,False,False,10 August 1960 | Frank Lloyd | Harry Carey | McVeagh of the South Seas | The Man From Lost River | The Man from Lost River,"Harry Carey (actor) | September 21, 1947",True,repair_residual_gap,73,73,9
6db45b3208bf11ebbd8aac1f6bf848b6,bridge_comparison,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",Return Of The Hero,Return Of The Hero,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.75,0.0,False,False,False,18 February 1967 | Henry Hathaway | Home in Indiana | Laurent Tirard | Return Of The Hero | Return of the Hero,"March 13, 1898",True,repair_residual_gap,52,52,4
1a76997408a311ebbd7bac1f6bf848b6,bridge_comparison,"Which film has the director died earlier, Crime Against Joe or Vagabonderne På Bakkegården?",Vagabonderne På Bakkegården,Vagabonderne På Bakkegården,1.0,1.0,True,complete,7,0.8571428571428571,4,0.75,0.25,False,False,False,18 February 1968 | Alice O'Fredericks | Crime Against Joe | Lee Sholem | Vagabonderne På Bakkegården | Vagabonderne på Bakkegården,"August 19, 2000",False,not_attempted,0,0,0
c7ea6b080baf11ebab90acde48001122,inference,Who is the maternal grandmother of Flavia Julia Constantia?,Eutropia,unnamed,0.0,0.0,True,complete,3,1.0,2,0.5,0.0,False,False,False,Eutropia | Flavia Julia Constantia | Flavia Maximiana Theodora,,False,not_attempted,0,0,0
391fed160bb011ebab90acde48001122,inference,Who is the paternal grandmother of Princess Feodora Of Hohenlohe-Langenburg?,Countess Amalie Henriette of Solms-Baruth,Countess Amalie Henriette of Solms-Baruth,1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.5,False,False,False,"Countess Amalie Henriette of Solms-Baruth | Ernst I, Prince of Hohenlohe-Langenburg | Princess Feodora of Hohenlohe-Langenburg",,True,repair_residual_gap,4,4,1
714be734088c11ebbd6fac1f6bf848b6,bridge_comparison,"Which film has the director who died earlier, Slums Of Berlin or Phantom India?",Slums Of Berlin,Slums Of Berlin,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.25,0.0,False,False,False,23 November 1995 | Gerhard Lamprecht | Louis Malle | Phantom India | Slums Of Berlin | Slums of Berlin,4 May 1974,True,repair_residual_gap,15,15,2
55660c0a086b11ebbd5fac1f6bf848b6,bridge_comparison,"Which film has the director who was born earlier, Toto In Paris or The Railroad Man?",Toto In Paris,Toto In Paris,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.5,0.0,False,False,False,Camillo Mastrocinque | Pietro Germi | The Railroad Man | Toto In Paris | Toto in Paris,11 May 1901 | 14 September 1914,True,repair_residual_gap,21,21,3
5f2bce30088111ebbd6dac1f6bf848b6,bridge_comparison,Do both films King Uncle and Kanyaka (Film) have the directors from the same country?,yes,yes,1.0,1.0,True,complete,6,0.5,4,0.25,0.0,False,False,False,J. Sasikumar | King Uncle | Rakesh Roshan,Indian | Kanyaka (film) | yes,False,not_attempted,0,0,0
28986e180bde11eba7f7acde48001122,compositional,Where was the place of death of Anne Devereux's husband?,Banbury,Edgecote Moor,0.0,0.0,False,short_chain,3,1.0,2,0.0,0.0,False,False,False,"Anne Devereux | Banbury | William Herbert, 1st Earl of Pembroke",,True,repair_residual_gap,12,12,1
008b58060baf11ebab90acde48001122,inference,"Who is Augustus Berkeley, 4Th Earl Of Berkeley's maternal grandmother?",Anne Brudenell,Anne Brudenell,1.0,1.0,False,missing_entities,3,1.0,2,0.0,0.0,False,False,False,"Anne Brudenell | Augustus Berkeley, 4th Earl of Berkeley | Louisa Lennox",,True,repair_residual_gap,40,40,2
7be06c080baf11ebab90acde48001122,inference,Who is the paternal grandfather of Chiang Hsiao-Wu?,Chiang Kai-shek,Chiang Kai-shek,1.0,1.0,False,missing_entities,3,0.3333333333333333,2,0.0,0.0,False,False,False,Chiang Kai-shek,Chiang Ching-kuo | Chiang Hsiao-wu,True,repair_residual_gap,0,0,1
952c943508a311ebbd7bac1f6bf848b6,comparison,"Which museum was founded first, Casoria Contemporary Art Museum or Leverian Collection?",Leverian Collection,Leverian Collection,1.0,1.0,False,short_chain,5,0.8,2,0.5,0.0,False,False,False,2005 | Casoria Contemporary Art Museum | Leverian Collection | Leverian collection,1775,False,not_attempted,0,0,0
fbef09ef089511ebbd75ac1f6bf848b6,bridge_comparison,"Which film has the director died later, The Big Cube or Rangila Ratan?",Rangila Ratan,Rangila Ratan,1.0,1.0,True,complete,7,0.7142857142857143,4,0.75,0.0,False,False,False,21 March 1985 | Rangila Ratan | S. Ramanathan | The Big Cube | Tito Davison,9 January 2013 | S. Ramanathan (film director),False,not_attempted,0,0,0
f3fb7e0708b411ebbd88ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, I'Ll Take Sweden or His Majesty, The American?",I'Ll Take Sweden,I'Ll Take Sweden,1.0,1.0,True,complete,8,0.75,4,0.75,0.0,False,False,False,"Frederick de Cordova | His Majesty, the American | I'Ll Take Sweden | I'll Take Sweden | January 15, 1888 | Joseph Henabery","Fred de Cordova | October 27, 1910",True,repair_to_complete,7,7,1
c4f5ca80089611ebbd76ac1f6bf848b6,bridge_comparison,"Which film has the director who is older, A Medal For Benny or King Of Chinatown?",A Medal For Benny,A Medal For Benny,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.5,0.0,False,False,False,A Medal For Benny | A Medal for Benny | Irving Pichel | King of Chinatown | Nick Grinde,"January 12, 1893 | June 24, 1891",True,repair_residual_gap,20,20,4
086e57720bdb11eba7f7acde48001122,compositional,What nationality is Julia Parker (Astrologer)'s husband?,British,British,1.0,1.0,True,complete,3,0.6666666666666666,2,0.5,0.0,False,False,False,Derek Parker | Julia Parker,British,False,not_attempted,0,0,0
803aef7808d311ebbd96ac1f6bf848b6,bridge_comparison,"Are the directors of films Who Are You, Polly Maggoo? and Mother Night (Film) both from the same country?",yes,Yes,1.0,1.0,True,complete,8,0.625,5,0.6,0.0,False,False,False,"American | Keith Gordon | Mother Night (film) | Who Are You, Polly Maggoo? | William Klein",French | William Klein (photographer) | yes,False,not_attempted,0,0,0
40b3f66a08cb11ebbd92ac1f6bf848b6,comparison,"Which film was released more recently, Fine Dead Girls or Venussian Tabutasco?",Venussian Tabutasco,Venussian Tabutasco,1.0,1.0,False,short_chain,4,0.75,2,0.5,0.0,False,False,False,2004 | Fine Dead Girls | Venussian Tabutasco,2002,False,not_attempted,0,0,0
f7a6322e08c511ebbd8fac1f6bf848b6,bridge_comparison,"Do both films, Humko Deewana Kar Gaye and Dozakh In Search Of Heaven, have the directors who are from the same country?",yes,yes,1.0,1.0,True,complete,6,0.8333333333333334,4,0.75,0.0,False,False,False,Dozakh in Search of Heaven | Humko Deewana Kar Gaye | India | Raj Kanwar | Zaigham Imam,yes,True,repair_to_complete,16,16,2
9bdf26a0085a11ebbd5cac1f6bf848b6,comparison,"Who lived longer, Neil Lloyd Macky or Domenico Cosselli?",Neil Lloyd Macky,Neil Lloyd Macky,1.0,1.0,True,complete,6,0.3333333333333333,4,0.0,0.0,False,False,False,Domenico Cosselli | Neil Lloyd Macky,20 February 1891 | 27 May 1801 | 4 October 1981 | 9 November 1855,False,not_attempted,0,0,0
bf3fd3ba08cd11ebbd93ac1f6bf848b6,bridge_comparison,"Which film has the director born earlier, Farfallon or Man On The Tracks?",Man On The Tracks,Man On The Tracks,1.0,1.0,False,missing_entities,7,0.8571428571428571,4,0.75,0.0,False,False,False,16 October 1921 | Andrzej Munk | Farfallon | Man On The Tracks | Man on the Tracks | Riccardo Pazzaglia,12 September 1926,True,repair_residual_gap,12,12,2
2e4716e6089d11ebbd78ac1f6bf848b6,bridge_comparison,"Which film has the director who was born earlier, Legend Of The Inca Bridge or Gangs Of New York?",Legend Of The Inca Bridge,Legend Of The Inca Bridge,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.0,0.0,False,False,False,Gangs of New York | José A. Ferreyra | Legend Of The Inca Bridge | Legend of the Inca Bridge | Martin Scorsese,"28 August 1889 | November 17, 1942",True,repair_residual_gap,42,42,4
61c4c7c008de11ebbd9eac1f6bf848b6,bridge_comparison,"Which film has the director died later, Romeo, Juliet And Darkness or I Can Explain?","Romeo, Juliet And Darkness","Romeo, Juliet And Darkness",1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.5,0.0,False,False,False,"George D. Baker | I Can Explain | Jiří Weiss | Romeo, Juliet And Darkness | Romeo, Juliet and Darkness","9 April 2004 | June 2, 1933",True,repair_residual_gap,24,24,4
3717fcf80bdc11eba7f7acde48001122,compositional,What is the place of birth of the director of film Alien From L.A.?,Hawaii,No evidence provides place of,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.5,0.0,False,False,False,Albert Pyun | Alien from L.A.,Hawaii,True,repair_residual_gap,31,31,6
76b367b4088311ebbd6dac1f6bf848b6,bridge_comparison,"Which film has the director who was born first, The Gigolos or More About The Children Of Noisy Village?",More About The Children Of Noisy Village,More About The Children Of Noisy Village,1.0,1.0,False,missing_entities,7,1.0,4,0.75,0.0,False,False,False,2 June 1946 | 28 November 1969 | Lasse Hallström | More About The Children Of Noisy Village | More About the Children of Noisy Village | Richard Bracewell | The Gigolos,,True,repair_residual_gap,59,59,8
69ef20980bdc11eba7f7acde48001122,compositional,Where was the director of film The Planet (Film) born?,Bollnäs,Bollnäs,1.0,1.0,False,disconnected,3,1.0,2,0.5,0.0,False,False,False,Bollnäs | Johan Söderberg | The Planet,,True,repair_residual_gap,22,22,3
ab1d47a108d211ebbd96ac1f6bf848b6,comparison,Are both Caracu River and South Fork Rogue River located in the same country?,no,no,1.0,1.0,True,complete,5,0.4,2,0.0,0.0,False,False,False,Caracu River | South Fork Rogue River,Brazil | U.S. | no,False,not_attempted,0,0,0
2b81a68e099611ebbdb0ac1f6bf848b6,comparison,Are Guancangping Railway Station and Yangquan North Railway Station both located in the same country?,yes,yes,1.0,1.0,True,complete,4,0.75,2,1.0,0.0,True,False,False,Guancangping railway station | People's Republic of China | Yangquan North railway station,yes,False,not_attempted,0,0,0
e0681b8c0bda11eba7f7acde48001122,compositional,When was the director of film I Want Someone To Eat Cheese With born?,"June 5, 1962","June 5, 1962",1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,False,"I Want Someone to Eat Cheese With | Jeff Garlin | June 5, 1962",,True,repair_residual_gap,20,20,2
57c12b50094711ebbdaeac1f6bf848b6,comparison,"Which album was released earlier, American Tunes or I'M In Love Again?",I'M In Love Again,I'm In Love Again,1.0,1.0,False,missing_entities,5,1.0,2,1.0,0.0,True,False,False,"1983 | American Tunes | I'M In Love Again | I'm in Love Again | June 10, 2016",,True,repair_residual_gap,42,42,7
237d904a0bdc11eba7f7acde48001122,compositional,Where was the mother of Maria Of Jülich-Berg born?,Ansbach,Ansbach,1.0,1.0,False,missing_entities,3,1.0,2,1.0,0.0,True,False,True,Ansbach | Maria of Jülich-Berg | Sibylle of Brandenburg,,True,repair_residual_gap,37,37,2
2c06f0a60bde11eba7f7acde48001122,compositional,Where did Baha Al-Dawla's father die?,Baghdad,未提及,0.0,0.0,True,complete,3,1.0,2,0.0,0.0,False,False,True,'Adud al-Dawla | Baghdad | Baha al-Dawla,,False,not_attempted,0,0,0
21852d1e0bde11eba7f7acde48001122,compositional,Who is the spouse of the director of film Fire-Eater (Film)?,Pirkko Saisio,Pirkko Saisio,1.0,1.0,True,complete,3,1.0,2,0.5,0.0,False,False,True,Fire-Eater | Pirjo Honkasalo | Pirkko Saisio,,False,not_attempted,0,0,0
3c9020cd097811ebbdb0ac1f6bf848b6,comparison,"Which film was released more recently, Paul Temple'S Triumph or The Quick And The Undead?",The Quick And The Undead,The Quick And The Undead,1.0,1.0,False,missing_entities,5,0.6,2,0.0,0.0,False,False,False,Paul Temple's Triumph | The Quick And The Undead | The Quick and the Undead,1950 | 2006,True,repair_residual_gap,26,26,2
84d526bd088711ebbd6dac1f6bf848b6,bridge_comparison,Do both films The Dust Of Naples and Col Cuore In Gola have the directors that share the same nationality?,yes,yes,1.0,1.0,False,missing_entities,7,0.5714285714285714,4,0.5,0.0,False,False,False,Antonio Capuano | Col cuore in gola | The Dust of Naples | Tinto Brass,Antonio Capuano (director) | Italian | yes,True,repair_residual_gap,45,45,9
6b6a5a7f092e11ebbdaeac1f6bf848b6,comparison,"Which film came out earlier, La Marca De Satanás or Sofia'S Last Ambulance?",La Marca De Satanás,La Marca De Satanás,1.0,1.0,True,complete,5,0.6,2,0.0,0.0,False,False,False,La Marca De Satanás | La marca de Satanás | Sofia's Last Ambulance,1957 | 2012,False,not_attempted,0,0,0
c0085d55088111ebbd6dac1f6bf848b6,bridge_comparison,"Which film has the director born earlier, High Society Blues or Counterblast?",Counterblast,Counterblast,1.0,1.0,False,short_chain,7,0.8571428571428571,4,0.5,0.0,False,False,False,"4 February 1892 | Counterblast | David Butler | December 17, 1894 | High Society Blues | Paul L. Stein",David Butler (director),False,not_attempted,0,0,0
7529522e0bde11eba7f7acde48001122,compositional,"Where was the place of death of the composer of song Hail, Hail, The Gang'S All Here?",London,The composer of the tune for,0.0,0.0,False,missing_entities,3,0.6666666666666666,2,0.0,0.0,False,False,False,"Arthur Sullivan | Hail, Hail, the Gang's All Here",London,True,repair_residual_gap,56,56,8
6e921fa8085d11ebbd5cac1f6bf848b6,comparison,Are Justine Lupe and Mark Kistler both from the same country?,yes,yes,1.0,1.0,True,complete,4,0.5,2,0.0,0.0,False,False,False,Justine Lupe | Mark Kistler,American | yes,False,not_attempted,0,0,0
f6201efa0bdc11eba7f7acde48001122,compositional,Who is the spouse of the director of film Confidentially Connie?,Ona Munson,Lorraine Miller,0.0,0.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,Confidentially Connie | Edward Buzzell | Ona Munson,,False,not_attempted,0,0,0
6d68448a0bdb11eba7f7acde48001122,compositional,Which award the performer of song Constantemente Mía got?,Sanremo Music Festival,Sanremo Music Festival,1.0,1.0,False,disconnected,3,1.0,2,1.0,0.0,True,False,True,Constantemente Mía | Il Volo | Sanremo Music Festival,,True,repair_residual_gap,24,24,5
eb3fdf6208bb11ebbd88ac1f6bf848b6,bridge_comparison,"Which film has the director who died later, The Devil And Miss Jones or The Man In The Funny Suit?",The Man In The Funny Suit,The Man In The Funny Suit,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.25,0.0,False,False,False,Ralph Nelson | Sam Wood | The Devil and Miss Jones | The Man In The Funny Suit | The Man in the Funny Suit,"December 21, 1987 | September 22, 1949",True,repair_residual_gap,81,81,9
1ca3370c0bdc11eba7f7acde48001122,compositional,What nationality is the performer of song Gone Fishin' (Song)?,America,American,0.0,0.0,False,short_chain,3,0.6666666666666666,2,0.0,0.0,False,False,False,Bing Crosby | Gone Fishin',America,False,not_attempted,0,0,0
ca7775140bdc11eba7f7acde48001122,compositional,Who is the spouse of the director of film The Thin Line (1980 Film)?,Moshé Mizrahi,Moshé Mizrahi,1.0,1.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,Michal Bat-Adam | Moshé Mizrahi | The Thin Line,,False,not_attempted,0,0,0
955eafcc089f11ebbd78ac1f6bf848b6,comparison,"Who lived longer, Octavius Hammond or Curumsey Damjee?",Curumsey Damjee,Curumsey Damjee,1.0,1.0,False,short_chain,6,0.6666666666666666,4,0.5,0.0,False,False,False,1844 | 1918 | Curumsey Damjee | Octavius Hammond,19 March 1835 | 22 August 1908,False,not_attempted,0,0,0
03e971d208d911ebbd9cac1f6bf848b6,bridge_comparison,Do both directors of films The Wrath Of Silence and Legend Of The Fox have the same nationality?,yes,yes,1.0,1.0,False,missing_entities,7,0.7142857142857143,5,0.4,0.0,False,False,False,Chang Cheh | Frankie Chan | Hong Kong | Legend of the Fox | The Wrath of Silence,Chinese | yes,True,repair_residual_gap,29,29,4
547835de087f11ebbd6bac1f6bf848b6,comparison,"Who was born later, Park So-Jin or Joseph M. Pettit?",Park So-Jin,Park So-Jin,1.0,1.0,True,complete,5,0.6,2,0.5,0.5,False,False,False,"May 21, 1986 | Park So-Jin | Park So-jin","Joseph M. Pettit | July 15, 1916",True,repair_to_complete,12,12,1
77803f9c084b11ebbd56ac1f6bf848b6,comparison,"Which film was released first, Taxi! or What'S Your Hurry??",What'S Your Hurry?,What'S Your Hurry,1.0,1.0,True,complete,5,0.6,2,0.0,0.0,False,False,False,Taxi! | What'S Your Hurry? | What's Your Hurry?,1920 | 1932,False,not_attempted,0,0,0
5b66327608f011ebbda8ac1f6bf848b6,comparison,"Who was born later, Narayana Kasturi or Sigismund Toduță?",Sigismund Toduță,Sigismund Toduță,1.0,1.0,True,complete,4,0.75,2,0.5,0.0,False,False,False,17 May 1908 | Narayana Kasturi | Sigismund Toduță,25 December 1897,False,not_attempted,0,0,0
432d5c5c08aa11ebbd80ac1f6bf848b6,comparison,"Which school was founded first, Colegio Israelita De México or Waldorf University?",Waldorf University,Waldorf University,1.0,1.0,True,complete,4,1.0,2,1.0,0.0,True,False,False,1903 | 1924 | Colegio Israelita de México | Waldorf University,,False,not_attempted,0,0,0
0464f5040bdc11eba7f7acde48001122,compositional,Where does the director of film The Witnesses work at?,Cahiers du cinéma,French film director,0.0,0.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,André Téchiné | Cahiers du cinéma | The Witnesses,,False,not_attempted,0,0,0
1aec8f200bb011ebab90acde48001122,inference,Who is Myat Phaya's maternal grandmother?,Hsinbyumashin,Queen of Alenandaw,0.0,0.0,True,complete,3,1.0,2,0.0,0.0,False,False,False,Hsinbyumashin | Myat Phaya | Supayalat,,True,repair_to_complete,10,10,1
5d87207a0bb011ebab90acde48001122,inference,Who is Badi-Al Zaman Mirza Safavi's mother-in-law?,Sultan-Agha Khanum,Sultan-Agha Khanum,1.0,1.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,Badi-al Zaman Mirza Safavi | Pari Khan Khanum | Sultan-Agha Khanum,,False,not_attempted,0,0,0
12372ebd08e711ebbda5ac1f6bf848b6,comparison,"Which film was released more recently, Secret Of St. Job Forest or Kenny Begins?",Kenny Begins,Kenny Begins,1.0,1.0,False,missing_entities,4,0.5,2,0.0,0.0,False,False,False,Kenny Begins | Secret of St. Job Forest,1917 | 2009,True,repair_residual_gap,30,30,3
8d91d1b60bb011ebab90acde48001122,inference,"Who is Eleanor Of Aragon, Countess Of Toulouse's paternal grandfather?",Ramon Berenguer IV,Ramon Berenguer IV,1.0,1.0,False,missing_entities,3,0.6666666666666666,2,0.0,0.0,False,False,False,Alfonso II of Aragon | Ramon Berenguer IV,"Eleanor of Aragon, Countess of Toulouse",True,repair_residual_gap,15,15,3
9564cd35089311ebbd75ac1f6bf848b6,comparison,"Do the movies Before The Streets and Buchanan Rides Alone, originate from the same country?",no,no,1.0,1.0,False,missing_entities,5,0.4,2,0.0,0.0,False,False,False,Before the Streets | Buchanan Rides Alone,American | Canadian | no,True,repair_residual_gap,25,25,6
b86223c60bda11eba7f7acde48001122,compositional,Where was the place of death of the director of film Curse Of The Crimson Altar?,"Durban, South Africa","Durban, South Africa",1.0,1.0,False,missing_entities,3,1.0,2,0.5,0.0,False,False,True,"Curse of the Crimson Altar | Durban, South Africa | Vernon Sewell",,True,repair_residual_gap,39,39,2
a3561235086b11ebbd5fac1f6bf848b6,comparison,"Which film was released more recently, The Singing Fool or La Ragazzola?",La Ragazzola,La Ragazzola,1.0,1.0,True,complete,5,0.8,2,0.5,0.0,False,False,False,1928 | La Ragazzola | La ragazzola | The Singing Fool,1965,False,not_attempted,0,0,0
1e1d8778088e11ebbd70ac1f6bf848b6,bridge_comparison,"Which film has the director who died earlier, Naa Mechida Huduga or The Countess Died Of Laughter?",The Countess Died Of Laughter,The Countess Died Of Laughter,1.0,1.0,False,missing_entities,7,0.7142857142857143,4,0.5,0.0,False,False,False,Franz Antel | Naa Mechida Huduga | R. N. Jayagopal | The Countess Died Of Laughter | The Countess Died of Laughter,11 August 2007 | 19 May 2008,True,repair_residual_gap,44,44,7
0bad718c0bb011ebab90acde48001122,inference,Who is the paternal grandfather of Margaret Drummond (Mistress)?,Sir Malcolm Drummond of Cargill,Sir Malcolm Drummond,0.0,0.75,False,short_chain,3,1.0,2,0.0,0.0,False,False,False,John Drummond | Margaret Drummond | Sir Malcolm Drummond of Cargill,,False,not_attempted,0,0,0
ef5046be0bae11ebab90acde48001122,inference,"Who is the paternal grandmother of Edward Despenser, 1St Baron Despenser?",Eleanor de Clare,"“Edward le Despenser, 1st Baron Des",0.0,0.0,False,missing_entities,2,1.0,2,0.5,0.0,False,False,True,Edward le Despenser | Eleanor de Clare,,True,repair_residual_gap,30,30,2
8a0ed810089d11ebbd78ac1f6bf848b6,bridge_comparison,"Which film has the director who was born first, Angel And The Badman or Happy Days In Aranjuez?",Happy Days In Aranjuez,Happy Days In Aranjuez,1.0,1.0,False,missing_entities,8,0.75,4,0.75,0.0,False,False,False,"Angel and the Badman | Happy Days In Aranjuez | Happy Days in Aranjuez | James Edward Grant | Johannes Meyer | July 2, 1905",13 August 1888 | Johannes Meyer (director),True,repair_residual_gap,44,44,4
cd0964240bda11eba7f7acde48001122,compositional,Where was the place of burial of Marie-Louise Loubet's husband?,Montélimar,Montélimar,1.0,1.0,False,disconnected,3,0.6666666666666666,2,0.5,0.0,False,False,False,Marie-Louise Loubet | Émile Loubet,Montélimar,True,repair_residual_gap,4,4,1
632cef18089111ebbd73ac1f6bf848b6,bridge_comparison,"Which film whose director is younger, The Last Face or The Jackhammer Massacre?",The Last Face,The Last Face,1.0,1.0,True,complete,6,0.8333333333333334,4,0.5,0.0,False,False,False,"August 17, 1960 | Joe Castro | Sean Penn | The Jackhammer Massacre | The Last Face","August 15, 1927",False,not_attempted,0,0,0
e0bdd2a808d211ebbd96ac1f6bf848b6,bridge_comparison,"Which film whose director was born first, Maker Of Men or Kentucky Kernels?",Maker Of Men,Maker Of Men,1.0,1.0,False,missing_entities,7,1.0,4,0.75,0.25,False,False,False,"December 18, 1904 | Edward Sedgwick | George Stevens | Kentucky Kernels | Maker Of Men | Maker of Men | November 7, 1889",,True,repair_residual_gap,25,25,7
754af08e0bdc11eba7f7acde48001122,compositional,Who is the father of the performer of song Don'T Touch My Hair?,Mathew Knowles,Mathew Knowles,1.0,1.0,True,complete,3,1.0,2,0.0,0.0,False,False,True,Don't Touch My Hair | Mathew Knowles | Solange,,False,not_attempted,0,0,0
2fd031c00bde11eba7f7acde48001122,compositional,Where did the director of film Desolation Angels (1995 Film) graduate from?,State University of New York at Purchase,State University of New York at Purchase,1.0,1.0,True,complete,3,1.0,2,1.0,0.0,True,False,True,Desolation Angels | State University of New York at Purchase | Tim McCann,,False,not_attempted,0,0,0
