dataset,sample_index,qid,type,question,gold,prediction,em,f1,system_gap_type,system_chain_complete,gold_entity_coverage,gold_pair_recall,gold_relation_recall,gold_pair_complete,gold_nodes_connected,reader_support_title_recall,reader_evidence_entity_coverage,matched_gold_entities,missing_gold_entities,gold_evidences,strict_chain_judge,support_sufficiency_judge,conservative_meta_judge,majority_adjudication,match_votes,mismatch_votes,ambiguous_votes,adjudicated_correct,adjudication_confidence,primary_disagreement,rationale
2wiki,38,69ef20980bdc11eba7f7acde48001122,compositional,Where was the director of film The Planet (Film) born?,Bollnäs,Bollnäs,1.0,1.0,disconnected,False,1.0,0.5,0.0,False,False,1.0,1.0,Bollnäs | Johan Söderberg | The Planet,,The Planet --director--> Johan Söderberg | Johan Söderberg --place of birth--> Bollnäs,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: Gold evidence entities are present but their matched nodes are not connected. || support_sufficiency_reviewer=match: Gold entities are present, but gold evidence pairs are incomplete. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,39,6d68448a0bdb11eba7f7acde48001122,compositional,Which award the performer of song Constantemente Mía got?,Sanremo Music Festival,Sanremo Music Festival,1.0,1.0,disconnected,False,1.0,1.0,0.0,True,True,1.0,1.0,Constantemente Mía | Il Volo | Sanremo Music Festival,,Constantemente Mía --performer--> Il Volo | Il Volo --award received--> Sanremo Music Festival,ambiguous,ambiguous,match,ambiguous,1,0,2,False,medium,True,"strict_chain_reviewer=ambiguous: Endpoint pairs exist, but relation semantics are incomplete; this may be a coarse disconnected label. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,40,6de887fc0bdc11eba7f7acde48001122,compositional,Where was the composer of film Post Master born?,Karnataka,India,0.0,0.0,disconnected,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Post Master | Vijaya Bhaskar,Karnataka,Post Master --composer--> Vijaya Bhaskar | Vijaya Bhaskar --place of birth--> Karnataka,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=ambiguous: The disconnected label is plausible but not cleanly confirmed by the gold proxy."
2wiki,41,91edc89c0bdc11eba7f7acde48001122,compositional,Where does the founder of Les Films Du Losange work at?,Cahiers du cinéma,Les films du losange,0.0,0.2857,disconnected,False,1.0,1.0,0.5,True,True,1.0,1.0,Cahiers du cinéma | Les films du losange | Éric Rohmer,,Les films du losange --founded by--> Éric Rohmer | Éric Rohmer --employer--> Cahiers du cinéma,ambiguous,ambiguous,match,ambiguous,1,0,2,False,medium,True,"strict_chain_reviewer=ambiguous: Endpoint pairs exist, but relation semantics are incomplete; this may be a coarse disconnected label. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,42,b7afade20bdd11eba7f7acde48001122,compositional,"Which country the performer of song Gå Och Göm Dig, Åke Tråk is from?",Sweden,Sweden,1.0,1.0,disconnected,False,1.0,1.0,0.0,True,True,1.0,1.0,"Gå och göm dig, Åke Tråk | Mona Wessman | Sweden",,"Gå och göm dig, Åke Tråk --performer--> Mona Wessman | Mona Wessman --country of citizenship--> Sweden",ambiguous,ambiguous,match,ambiguous,1,0,2,False,medium,True,"strict_chain_reviewer=ambiguous: Endpoint pairs exist, but relation semantics are incomplete; this may be a coarse disconnected label. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,43,cd0964240bda11eba7f7acde48001122,compositional,Where was the place of burial of Marie-Louise Loubet's husband?,Montélimar,Montélimar,1.0,1.0,disconnected,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Marie-Louise Loubet | Émile Loubet,Montélimar,Marie-Louise Loubet --spouse--> Émile Loubet | Émile Loubet --place of burial--> Montélimar,mismatch,ambiguous,ambiguous,ambiguous,0,1,2,False,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=ambiguous: The disconnected label is plausible but not cleanly confirmed by the gold proxy."
2wiki,44,f1c093bc0bdc11eba7f7acde48001122,compositional,Where was the director of film Everybody'S Woman born?,Saarbrücken,Germany,0.0,0.0,disconnected,False,1.0,0.5,0.0,False,True,1.0,1.0,Everybody's Woman | Max Ophüls | Saarbrücken,,Everybody's Woman --director--> Max Ophüls | Max Ophüls --place of birth--> Saarbrücken,mismatch,match,match,match,2,1,0,True,medium,True,"strict_chain_reviewer=mismatch: The gold proxy does not show present-but-disconnected gold evidence nodes. || support_sufficiency_reviewer=match: Gold entities are present, but gold evidence pairs are incomplete. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,45,fa5c2aa80bdd11eba7f7acde48001122,compositional,Where did the composer of film Rajaratha graduate from?,Vidya Vikas Institute of Engineering & Technology (VVIET),Vidya Vikas Institute,0.0,0.6,disconnected,False,1.0,1.0,0.0,True,True,1.0,1.0,Anup Bhandari | Rajaratha | Vidya Vikas Institute of Engineering & Technology (VVIET),,Rajaratha --composer--> Anup Bhandari | Anup Bhandari --educated at--> Vidya Vikas Institute of Engineering & Technology (VVIET),ambiguous,ambiguous,match,ambiguous,1,0,2,False,medium,True,"strict_chain_reviewer=ambiguous: Endpoint pairs exist, but relation semantics are incomplete; this may be a coarse disconnected label. || support_sufficiency_reviewer=ambiguous: The label points to a graph connection problem, but support-level evidence is not decisive. || conservative_meta_reviewer=match: All gold entities are present but graph connectivity or relation semantics remain incomplete."
2wiki,46,0083038e0bde11eba7f7acde48001122,compositional,Where did Prince Ferdinand Of Bavaria's mother die?,Munich,Schloss Nymphenburg,0.0,0.0,missing_entities,False,1.0,1.0,0.5,True,True,1.0,1.0,Infanta María de la Paz of Spain | Infante Ferdinand of Bavaria | Munich,,Infante Ferdinand of Bavaria --mother--> Infanta María de la Paz of Spain | Infanta María de la Paz of Spain --place of death--> Munich,mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,47,00efceca0bb011ebab90acde48001122,inference,"Who is the father of George, Emperor Of Trebizond?",Manuel I of Trebizond,Emperor Manuel I,0.0,0.5714,missing_entities,False,0.6666666666666666,0.0,0.0,False,False,1.0,0.6666666666666666,"George, Emperor of Trebizond | Irene Syrikaina",Manuel I of Trebizond,"George, Emperor of Trebizond --mother--> Irene Syrikaina | Irene Syrikaina --spouse--> Manuel I of Trebizond",match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,48,01eaac71085c11ebbd5cac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, The Ghosts Of Berkeley Square or Hello Caesar!?",The Ghosts Of Berkeley Square,The Ghosts Of Berkeley Square,1.0,1.0,missing_entities,False,0.8571428571428571,0.75,0.0,False,False,1.0,1.0,7 November 1888 | Hello Caesar! | Reinhold Schünzel | The Ghosts Of Berkeley Square | The Ghosts of Berkeley Square | Vernon Sewell,4 July 1903,The Ghosts of Berkeley Square --director--> Vernon Sewell | Hello Caesar! --director--> Reinhold Schünzel | Vernon Sewell --date of birth--> 4 July 1903 | Reinhold Schünzel --date of birth--> 7 November 1888,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,49,063270da08af11ebbd83ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Attack Of Life: The Bang Tango Movie or King Kong (2005 Film)?",Attack Of Life: The Bang Tango Movie,Attack Of Life: The Bang Tango Movie,1.0,1.0,missing_entities,False,0.8571428571428571,0.5,0.0,False,False,1.0,0.8333333333333334,"31 October 1961 | Attack Of Life: The Bang Tango Movie | Attack of Life: The Bang Tango Movie | Drew Fortier | July 14, 1987 | Peter Jackson",King Kong (2005 film),"Attack of Life: The Bang Tango Movie --director--> Drew Fortier | King Kong (2005 film) --director--> Peter Jackson | Drew Fortier --date of birth--> July 14, 1987 | Peter Jackson --date of birth--> 31 October 1961",match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,50,0a9f880a0bda11eba7f7acde48001122,compositional,Who is the spouse of the director of film The Dressmaker From Paris?,Jean Harlow,Jean Harlow,1.0,1.0,missing_entities,False,1.0,1.0,0.0,True,True,1.0,1.0,Jean Harlow | Paul Bern | The Dressmaker from Paris,,The Dressmaker from Paris --director--> Paul Bern | Paul Bern --spouse--> Jean Harlow,mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,51,20806979089c11ebbd78ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Aloha, Bobby And Rose or The Elusive Avengers?","Aloha, Bobby And Rose","Aloha, Bobby And Rose",1.0,1.0,missing_entities,False,0.8571428571428571,0.75,0.25,False,False,1.0,1.0,"Aloha, Bobby And Rose | Aloha, Bobby and Rose | Edmond Keosayan | Floyd Mutrux | June 21, 1941 | The Elusive Avengers",9 October 1936,"Aloha, Bobby and Rose --director--> Floyd Mutrux | The Elusive Avengers --director--> Edmond Keosayan | Floyd Mutrux --date of birth--> June 21, 1941 | Edmond Keosayan --date of birth--> 9 October 1936",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,52,237d904a0bdc11eba7f7acde48001122,compositional,Where was the mother of Maria Of Jülich-Berg born?,Ansbach,Ansbach,1.0,1.0,missing_entities,False,1.0,1.0,0.0,True,True,1.0,1.0,Ansbach | Maria of Jülich-Berg | Sibylle of Brandenburg,,Maria of Jülich-Berg --mother--> Sibylle of Brandenburg | Sibylle of Brandenburg --place of birth--> Ansbach,mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,53,3641d5c60bda11eba7f7acde48001122,compositional,"Where was the place of burial of Ælfgar, Earl Of Mercia's mother?",Coventry,Not specified,0.0,0.0,missing_entities,False,1.0,0.5,0.0,False,False,1.0,1.0,Coventry | Godgifu | Ælfgar,,Ælfgar --mother--> Godgifu | Godgifu --place of burial--> Coventry,mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,54,36ba28ed089611ebbd76ac1f6bf848b6,comparison,Are Four Eyed Monsters and Joseph And The Amazing Technicolor Dreamcoat (Film) from the same country?,no,no,1.0,1.0,missing_entities,False,0.4,0.0,0.0,False,False,1.0,0.8,Four Eyed Monsters | Joseph and the Amazing Technicolor Dreamcoat (film),American | British | no,Four Eyed Monsters --country of origin--> American | Joseph and the Amazing Technicolor Dreamcoat (film) --country of origin--> British,match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,55,38056cd40bde11eba7f7acde48001122,compositional,"When did Thomas Knox, 3Rd Earl Of Ranfurly's father die?",21 March 1858,21 March 1858,1.0,1.0,missing_entities,False,1.0,0.0,0.0,False,True,1.0,1.0,"21 March 1858 | Thomas Knox, 3rd Earl of Ranfurly | Viscount Northland",,"Thomas Knox, 3rd Earl of Ranfurly --father--> Viscount Northland | Viscount Northland --date of death--> 21 March 1858",mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,56,385457c20bde11eba7f7acde48001122,compositional,"When was Charles, Grand Duke Of Baden's father born?",14 February 1755,未提及,0.0,0.0,missing_entities,False,0.75,0.5,0.5,False,False,1.0,1.0,"14 February 1755 | Charles Louis, Hereditary Prince of Baden | Charles, Grand Duke of Baden",Karl Ludwig,"Charles, Grand Duke of Baden --father--> Karl Ludwig | Charles Louis, Hereditary Prince of Baden --date of birth--> 14 February 1755",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,57,3c9020cd097811ebbdb0ac1f6bf848b6,comparison,"Which film was released more recently, Paul Temple'S Triumph or The Quick And The Undead?",The Quick And The Undead,The Quick And The Undead,1.0,1.0,missing_entities,False,0.6,0.0,0.0,False,False,1.0,1.0,Paul Temple's Triumph | The Quick And The Undead | The Quick and the Undead,1950 | 2006,Paul Temple's Triumph --publication date--> 1950 | The Quick and the Undead --publication date--> 2006,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,58,57c03881088f11ebbd72ac1f6bf848b6,bridge_comparison,"Which film has the director who was born first, The Girl In 419 or Dunked In The Deep?",The Girl In 419,The Girl In 419,1.0,1.0,missing_entities,False,0.8571428571428571,0.75,0.0,False,False,1.0,1.0,17 September 1900 | Alexander Hall | Dunked in the Deep | Jules White | The Girl In 419 | The Girl in 419,"January 11, 1894","The Girl in 419 --director--> Alexander Hall | Dunked in the Deep --director--> Jules White | Alexander Hall --date of birth--> January 11, 1894 | Jules White --date of birth--> 17 September 1900",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,59,5df2d970087a11ebbd67ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, Three Kinds Of Heat or Stop The Wedding?",Stop The Wedding,Stop The Wedding,1.0,1.0,missing_entities,False,0.8571428571428571,0.75,0.0,False,False,1.0,1.0,"Anne Wheeler | Leslie Stevens | September 23, 1946 | Stop The Wedding | Stop the Wedding | Three Kinds of Heat","February 3, 1924","Three Kinds of Heat --director--> Leslie Stevens | Stop the Wedding --director--> Anne Wheeler | Leslie Stevens --date of birth--> February 3, 1924 | Anne Wheeler --date of birth--> September 23, 1946",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,60,5eb334660bdd11eba7f7acde48001122,compositional,What is the place of birth of the director of film Six Months Of Life?,Mexican,Mexico,0.0,0.0,missing_entities,False,0.6666666666666666,0.5,0.0,False,False,1.0,1.0,Six Months of Life | Víctor Urruchúa,Mexican,Six Months of Life --director--> Víctor Urruchúa | Víctor Urruchúa --place of birth--> Mexican,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,61,61c4c7c008de11ebbd9eac1f6bf848b6,bridge_comparison,"Which film has the director died later, Romeo, Juliet And Darkness or I Can Explain?","Romeo, Juliet And Darkness","Romeo, Juliet And Darkness",1.0,1.0,missing_entities,False,0.7142857142857143,0.5,0.0,False,False,1.0,1.0,"George D. Baker | I Can Explain | Jiří Weiss | Romeo, Juliet And Darkness | Romeo, Juliet and Darkness","9 April 2004 | June 2, 1933","Romeo, Juliet and Darkness --director--> Jiří Weiss | I Can Explain --director--> George D. Baker | Jiří Weiss --date of death--> 9 April 2004 | George D. Baker --date of death--> June 2, 1933",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,62,6db45b3208bf11ebbd8aac1f6bf848b6,bridge_comparison,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",Return Of The Hero,Return Of The Hero,1.0,1.0,missing_entities,False,0.8571428571428571,0.75,0.0,False,False,1.0,1.0,18 February 1967 | Henry Hathaway | Home in Indiana | Laurent Tirard | Return Of The Hero | Return of the Hero,"March 13, 1898","Return of the Hero --director--> Laurent Tirard | Home in Indiana --director--> Henry Hathaway | Laurent Tirard --date of birth--> 18 February 1967 | Henry Hathaway --date of birth--> March 13, 1898",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,63,7b33f605088411ebbd6dac1f6bf848b6,bridge_comparison,"Which film has the director died later, Taipei Story or The Ballad Of Cossack Golota?",Taipei Story,Taipei Story,1.0,1.0,missing_entities,False,0.8333333333333334,0.5,0.0,False,False,1.0,1.0,14 December 1950 | Edward Yang | Igor Savchenko | Taipei Story | The Ballad of Cossack Golota,"June 29, 2007","Taipei Story --director--> Edward Yang | The Ballad of Cossack Golota --director--> Igor Savchenko | Edward Yang --date of death--> June 29, 2007 | Igor Savchenko --date of death--> 14 December 1950",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,64,84d526bd088711ebbd6dac1f6bf848b6,bridge_comparison,Do both films The Dust Of Naples and Col Cuore In Gola have the directors that share the same nationality?,yes,yes,1.0,1.0,missing_entities,False,0.5714285714285714,0.5,0.0,False,False,1.0,0.7142857142857143,Antonio Capuano | Col cuore in gola | The Dust of Naples | Tinto Brass,Antonio Capuano (director) | Italian | yes,The Dust of Naples --director--> Antonio Capuano | Col cuore in gola --director--> Tinto Brass | Antonio Capuano (director) --country of citizenship--> Italian | Tinto Brass --country of citizenship--> Italian,match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,65,885ba7220bdc11eba7f7acde48001122,compositional,Where was the father of Eugene Fubini born?,Venice,Venice,1.0,1.0,missing_entities,False,1.0,0.5,0.0,False,True,1.0,1.0,Dr. Eugene G. Fubini | Guido Fubini | Venice,,Dr. Eugene G. Fubini --father--> Guido Fubini | Guido Fubini --place of birth--> Venice,mismatch,mismatch,ambiguous,mismatch,0,2,1,False,medium,True,"strict_chain_reviewer=mismatch: Gold evidence entities are covered, so a missing-entity label is not supported by the gold proxy. || support_sufficiency_reviewer=mismatch: The saved KG covers gold entities despite the missing-entity label. || conservative_meta_reviewer=ambiguous: The label may reflect system-query entities rather than gold evidence entities."
2wiki,66,9078bc380baf11ebab90acde48001122,inference,"Who is Philibert I, Duke Of Savoy's mother-in-law?",Bona of Savoy,Bona of Savoy,1.0,1.0,missing_entities,False,0.6666666666666666,0.5,0.0,False,False,1.0,0.6666666666666666,Bianca Maria Sforza | Bona of Savoy,"Philibert I, Duke of Savoy","Philibert I, Duke of Savoy --spouse--> Bianca Maria Sforza | Bianca Maria Sforza --mother--> Bona of Savoy",match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,67,9564cd35089311ebbd75ac1f6bf848b6,comparison,"Do the movies Before The Streets and Buchanan Rides Alone, originate from the same country?",no,no,1.0,1.0,missing_entities,False,0.4,0.0,0.0,False,False,1.0,1.0,Before the Streets | Buchanan Rides Alone,American | Canadian | no,Before the Streets --country of origin--> Canadian | Buchanan Rides Alone --country of origin--> American,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,68,a3939d3b08a111ebbd79ac1f6bf848b6,comparison,"Which film was released more recently, Girl Slaves Of Morgana Le Fay or Strawberry Shortcake: Rockaberry Roll?",Strawberry Shortcake: Rockaberry Roll,Strawberry Shortcake: Rockaberry Roll,1.0,1.0,missing_entities,False,0.5,0.0,0.0,False,False,1.0,1.0,Girl Slaves of Morgana Le Fay | Strawberry Shortcake: Rockaberry Roll,1971 | 2008,Girl Slaves of Morgana Le Fay --publication date--> 1971 | Strawberry Shortcake: Rockaberry Roll --publication date--> 2008,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,69,b34f43d1087b11ebbd69ac1f6bf848b6,bridge_comparison,"Which film has the director who died later, Elle Boit Pas, Elle Fume Pas, Elle Drague Pas, Mais... Elle Cause ! or The Very Eye Of Night?","Elle Boit Pas, Elle Fume Pas, Elle Drague Pas, Mais... Elle Cause !","Elle Boit Pas, Elle Fume Pas, Elle Drague Pas, Mais... Elle Cause !",1.0,1.0,missing_entities,False,0.8571428571428571,0.5,0.0,False,False,1.0,1.0,"27 July 1985 | Elle Boit Pas, Elle Fume Pas, Elle Drague Pas, Mais... Elle Cause ! | Elle boit pas, elle fume pas, elle drague pas, mais... elle cause ! | Maya Deren | Michel Audiard | The Very Eye of Night","October 13, 1961","Elle boit pas, elle fume pas, elle drague pas, mais... elle cause ! --director--> Michel Audiard | The Very Eye of Night --director--> Maya Deren | Michel Audiard --date of death--> 27 July 1985 | Maya Deren --date of death--> October 13, 1961",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,70,b4399e48089511ebbd75ac1f6bf848b6,bridge_comparison,"Which film has the director who died first, The Piper'S Price or The Blonde From Singapore?",The Piper'S Price,The Piper'S Price,1.0,1.0,missing_entities,False,0.75,0.75,0.0,False,False,1.0,0.8571428571428571,"Edward Dmytryk | Joe De Grasse | July 1, 1999 | The Blonde from Singapore | The Piper'S Price | The Piper's Price","Joseph De Grasse | May 25, 1940","The Piper's Price --director--> Joe De Grasse | The Blonde from Singapore --director--> Edward Dmytryk | Joseph De Grasse --date of death--> May 25, 1940 | Edward Dmytryk --date of death--> July 1, 1999",match,ambiguous,match,match,2,0,1,True,medium,True,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=ambiguous: Reader-visible support is incomplete, so the missing-entity diagnosis cannot be isolated to the KG. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,71,b77d6f620bdd11eba7f7acde48001122,compositional,Which country Prince Mircea Of Romania's father is from?,Germany,Romania,0.0,0.0,missing_entities,False,0.75,0.0,0.0,False,False,1.0,1.0,Ferdinand I of Romania | Ferdinand of Romania | Prince Mircea of Romania,Germany,Prince Mircea of Romania --father--> Ferdinand of Romania | Ferdinand I of Romania --country of citizenship--> Germany,match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
2wiki,72,c4dfdd5608aa11ebbd80ac1f6bf848b6,bridge_comparison,"Which film has the director who was born later, The Voice Of My City or The Rental?",The Rental,The Rental,1.0,1.0,missing_entities,False,0.8333333333333334,0.5,0.0,False,False,1.0,1.0,"Dave Franco | June 12, 1985 | The Rental | The Voice of My City | Tulio Demicheli","August 15, 1914","The Voice of My City --director--> Tulio Demicheli | The Rental --director--> Dave Franco | Tulio Demicheli --date of birth--> August 15, 1914 | Dave Franco --date of birth--> June 12, 1985",match,match,match,match,3,0,0,True,high,False,"strict_chain_reviewer=match: At least one gold evidence entity is missing from the saved KG. || support_sufficiency_reviewer=match: The full context contains the support, but the saved KG misses at least one gold entity. || conservative_meta_reviewer=match: Missing gold entities coincide with incomplete gold-pair coverage."
